epoch,accuracy,loss,val_accuracy,val_loss
0,0.7630000114440918,0.6346646547317505,0.8512499928474426,0.35340654850006104
1,0.8550000190734863,0.3759322166442871,0.8550000190734863,0.3325463831424713
2,0.8895000219345093,0.3081974983215332,0.8762500286102295,0.2825417220592499
3,0.8995000123977661,0.2674228847026825,0.8799999952316284,0.34889543056488037
4,0.9075000286102295,0.23981060087680817,0.8687499761581421,0.36838680505752563
5,0.9200000166893005,0.21217244863510132,0.8924999833106995,0.431852251291275
6,0.9375,0.20365561544895172,0.8725000023841858,0.4911154508590698
7,0.9355000257492065,0.18188384175300598,0.9049999713897705,0.3633681535720825
8,0.9470000267028809,0.152850940823555,0.8912500143051147,0.44182002544403076
9,0.9585000276565552,0.13942714035511017,0.9024999737739563,0.42147862911224365
